(6667291, 'SA')	1.0	
(6667292, 'SA')	1.0	
(6667330, 'SA')	1.0	
(6667332, 'SA')	1.0	
(6667333, 'SA')	1.0	
(6667333, 'LRH15')	2.0240073e-11	
(6667397, 'SA')	1.0	
(6667398, 'SA')	1.0	
(6667398, 'CCF_4_15')	1.7406053e-10	
(6667449, 'SA')	1.0	
(6667478, 'SA')	1.0	
(6667479, 'SA')	1.0	
(6667480, 'SA')	1.0	
(6667480, 'CCF_3')	2.8603584e-11	
(6667481, 'SA')	1.0	
(6667481, 'LRT30')	3.4674597e-11	
(6667517, 'SA')	1.0	
(6667518, 'SA')	1.0	
(6667519, 'SA')	1.0	
(6667520, 'SA')	1.0	
(6667521, 'SA')	1.0	
(6667522, 'SA')	1.0	
(6667522, 'CCF_4_40')	7.5716603e-11	
(6667523, 'SA')	1.0	
(6667523, 'CCF_4_15')	1.0704532e-11	
(6667524, 'SA')	1.0	
(6667525, 'SA')	1.0	
(6667526, 'SA')	1.0	
(6667532, 'SA')	1.0	
(6667532, 'CCF_4_40')	2.3761855e-11	
(6667533, 'SA')	1.0	
(6667534, 'SA')	1.0	
(6667534, 'CCF_3_40')	5.9003418e-11	
(6667535, 'SA')	1.0	
(6667536, 'SA')	1.0	
(6667537, 'SA')	1.0	
(6667547, 'SA')	1.0	
(6667547, 'CCF_3_40')	8.5126308e-12	
(6667548, 'SA')	1.0	
(6667548, 'LRT30')	1.0827745e-11	
(6667549, 'SA')	1.0	
(6667550, 'SA')	1.0	
(6667550, 'CCF_2_40')	1.3711312e-11	
(6667552, 'SA')	1.0	
(6667556, 'SA')	1.0	
(6667556, 'CCF_3_10')	5.0518169e-11	
(6667557, 'SA')	1.0	
(6667558, 'SA')	1.0	
(6667558, 'CCF_2_15')	2.6745236e-11	
(6667559, 'SA')	1.0	
(6667560, 'SA')	1.0	
(6667561, 'SA')	1.0	
(6667562, 'SA')	1.0	
(6667563, 'SA')	1.0	
(6667564, 'SA')	1.0	
(6667564, 'LRH30')	1.1343025e-11	
(6667565, 'SA')	1.0	
(6667565, 'THwoTM20')	4.1120063e-11	
(6667566, 'SA')	1.0	
(6667566, 'THwoTM20')	9.2094365e-11	
(6667567, 'SA')	1.0	
(6667567, 'CCF_4_10')	9.5149511e-11	
(6667568, 'SA')	1.0	
(6667568, 'CCF_4_10')	1.2824445e-09	
(6667569, 'SA')	1.0	
(6667569, 'LRH30')	8.7676319e-11	
(6667570, 'SA')	1.0	
(6667573, 'SA')	1.0	
(6667573, 'THwoTM20')	4.2624392e-11	
(6667574, 'SA')	1.0	
(6667574, 'CCF_3_10')	2.415037e-11	
(6667575, 'SA')	1.0	
(6667575, 'THwoTM20')	4.8840097e-09	
(6667576, 'SA')	1.0	
(6667576, 'CCF_3_40')	9.314245e-12	
(6667577, 'SA')	1.0	
(6667578, 'SA')	1.0	
(6667579, 'SA')	1.0	
(6667579, 'LRT10')	2.2221815e-11	
(6667580, 'SA')	1.0	
(6667589, 'SA')	1.0	
(6667590, 'SA')	1.0	
(6667591, 'SA')	1.0	
(6667591, 'CCF_3_40')	1.1015955e-11	
(6667592, 'SA')	1.0	
(6667592, 'THwoT10')	9.1326936e-09	
(6667593, 'SA')	1.0	
(6667594, 'SA')	1.0	
(6667594, 'CCF_3_40')	1.241712e-11	
(6667595, 'SA')	1.0	
(6667596, 'SA')	1.0	
(6667597, 'SA')	1.0	
(6667598, 'SA')	1.0	
(6667598, 'CCF_2_40')	3.6260788e-11	
